-	\nenter\nv.\n～に入り込む | enter ~\nCentral
goa	[goa]\nconj.\n～だけ (only)\nonly ~ (it's used in the same way as the English ""only"")\nNew Testament of Pastalie
gool	[gu^ru]\nadjective\n飢えた \nstarved, parched \nCentral Standard Note
got	[gotto]\nv.\n手に入れる\nget, obtain\nCult Ciel Note
gott	[gotto]\nv\n離れろ！退け！（汚い感じ）\nGet off! Go away! (dirty feeling)\nCentral Standard Note
govan	[?]\nadj.\n激しい\nviolent, excited, vehement, intense\nPastalie [Unofficial]
govaz	[go^vazu]\nn.\n許嫁\nfiancee\nCult Ciel Note
gral	[guraru]\nadj.\n全て\nall of, entire\nNew Testament of Pastalie
gran	[guran]\nv.\n幕を開ける\nopen the curtain\nCult Ciel Note
grandee	[gurandeie^]\nn.\n守護者\nguardian\nMetafalss Note
grandus	[gurandousu]\nv.\n護る\ndefend, protect\nMetafalss Note
granme	[guranme]\nE.s. II\n心に勇気を抱く 護りたいと想う\nWishing to protect someone, courage\nCentral Standard Note
grave	[gureivu]\nn.\n山奥、建物などの奥\nmountain recesses, interior (of a building, etc.)\nCult Ciel Note
grlanza	[gurantsua]\nv.\n踊る\ndance\nCentral Standard Note
grow	[?]\nadjective\n傲慢 \ninsolent, arrogant \nUnknown [Unofficial]
grrena	[gurena]\nadj./n.\n緑 緑色の 碧 (名詞としても使用可. 植物という意味の緑は指さない)\ngreen (Note: It can be used both as a noun and adjective. As a noun, it's used for non-green plants)\nCentral Standard Note
grruw	[guruu]\nv.\n育つ\nraise, grow up\nCentral Standard Note
guard	[guarudo]\nn.\n守り、防御\nprotection\nCentral Standard Note
guatrz	[go^tsu]\nn.\n怒り、憎悪\nanger, hatred\nCentral Standard Note
guaysu	[guaisu]\nv.\nうつむく\nhang one's head (in shame, etc.)\nCentral Standard Note
guol	[guoru]\nv.\n（扉などを）閉じる\nclose (a door, etc.)\nCentral Standard Note
guwo	[guuo]\nE.s. II\n怒る 憤り\nanger, resentment\nCentral Standard Note
gyaje	[gyajie]\nn.\n過ち\nerror, mistake\nCentral Standard Note
gyajlee	[gyajiere]\nn.\n罪人\ncriminal, sinner\nCult Ciel Note
gyas	[gyasu]\nn.\n悪霊、悪い成分\nevil spirit, bad component\nCentral Standard Note
gyen	[jien]\nv.\n紡ぐ、（魔法を）生み出す\nspin, craft, create magic\nCult Ciel Note
gyenel	[jieneru]\nn.\n魔道士\nwizard, mage, sorcerer\nCult Ciel Note
gyengyat	[jienjatto]\nv.\nむさぼり食う\ndevour, lustfully eat\nCult Ciel Note
gyuss	[gyusu]\nn.\n抱擁\nembrace, hug\nCentral Standard Note
gyusya	[gyusha]\nv.\n支配する\nrule, control\nCentral Standard Note
h.k.t.t.	[hakuto]\nE.v.\n抱擁する、抱きしめる\nembrace, hug\nNew Testament of Pastalie
h.l.s.s.	[furusu]\nE.v.\n嘆く\ngrieve, sigh\nNew Testament of Pastalie
h.m.m.r.	[fumuru]\nE.v.\n謳う\nsing\nNew Testament of Pastalie
h.p.p.	[fupu]\nE.v.\n想う\nthink, feel\nNew Testament of Pastalie
h.p.ps.	[fuppusu]\nE.v.\n思いを馳せる\nhave (someone) on one's mind\nNew Testament of Pastalie
h.r.n.t.	[hanto]\nE.v.\n旅をする\ngo on a journey\nNew Testament of Pastalie
h.w.s.s.	[fuusu]\nE.v.\n成長する\ngrow, mature\nNew Testament of Pastalie
haf	[hafu]\nv.\n持っている、所有する、手に取る\nhave, own, hold\nCentral Standard Note
handeres	[henderesu]\nn./v.\n敗北(する)、負け\ndefeat, loss\nCentral Standard Note
hao	[hao]\nadj.\n上、上位、高位、上級\nabove, superior\nCentral Standard Note
harmon	[ha^mon]\nv.\n（多数で）合わせて～する\ndo ~ together (in great numbers)\nCentral Standard Note
harphe	[harufe]\nn.\n朝\nmorning\nNew Testament of Pastalie
harr	[haruru]\npro.\n彼女（主語定義）\nshe\nCentral Standard Note
harra	[harurura]\npro.\n彼女ら（主語定義）\nshe (plural)\nCentral Standard Note
hars	[harusu]\nn.\n彼女ら\nher (plural)\nCentral Standard Note
hartes	[ha^tesu]\nv.\n愛する\nlove\nCult Ciel Note
harton	[ha^ton]\nn.\n愛\nlove\nCentral Standard Note
has	[hasu]\nn.\n彼女\nher\nCentral Standard Note
hasyu	[hashu]\nn.\n魚\nfish\nCentral Standard Note
heath	[hi^su]\nadj.\n灼熱の 高温の\nscalding hot\nCentral Standard Note
heetha	[hii^sa]\nadj./n.\n健やか、健康\nhealth, healthy\nCentral Standard Note
heighte	[heite]\nv.\n傷つける\ninjure, wound\nMetafalss Note
hellei	\nE.s. II\n\n(unknown meaning)\n
her	[ia]\npro.\nこれ、この\nthis\nCentral Standard Note
here	[ia]\nadv.\nここ\nhere\nCentral Standard Note
herr	[heruru]\npro.\n彼（主語定義）\nhe\nCentral Standard Note
herra	[herurura]\npro.\n彼ら（主語定義）\nhe (plural)\nCentral Standard Note
hers	[he rusu]\nn.\n彼ら\nhim (plural)\nCentral Standard Note
hes	[hesu]\nn.\n彼\nhim\nCentral Standard Note
hieg	[hi^gu]\nadj./v.\n悲しむ、悲しみの\nsad, to be sad\nCentral Standard Note
hierle	[heiarure^]\nadj./v.\n悲しむ、悲しみの\nsad, to be sad\nMetafalss Note
hiew	[hi^u]\nn.\n哀しみ、悲哀\nsadness\nNew Testament of Pastalie
hiewi	[hi^ui]\nadj.\nつらい、悲しい\nheart-breaking, sad\nNew Testament of Pastalie
hiralg	[?]\nn.\n渇き\nthirst\nUnknown [Unofficial]
hopb	[hoppu]\nn.\n心（事象として表現する場合）\nheart, mind (when presenting it as a phenomenon)\nCult Ciel Note
houd	[houdo]\nv.\n抱く\nembrace, hug\nCentral Standard Note
how	[?]\nconj.\n~のように\nhow, like ~\nUnknown [Unofficial]
hueaf	[hyafu]\nadj./n.\n無駄な、くだらない、徒労\nfutile, useless, worthless, waste of effort\nCentral Standard Note
hyear	[iea , ya]\nint.\nさあ、やあ、ねえ（呼びかけ語句） (呼びかけや感嘆。非常に軽く発音するとほとんど「や」にしか聴こえない)\nhey, you (to get someone's attention) (Note: Used both for admiration and calling. It can be pronounced as ""hyear"" or ""ya"", but generally, ""ya"" is the only way used because of being faster to pronounce)\nCentral Standard Note
hyma	[hyuma]\nv.\n（言葉を）聞く\nlisten (to words)\nCentral Standard Note
hymma	[hyunma]\nn.\n小鳥 (語源は「奏でる者」でhymmeから来ている。)\nsmall bird (Note: This word originally meant ""music player"", and it originated from ""hymme"").\nCentral Standard Note
hymme	[hyumu]\nv./n.\n謳う、奏でる、共鳴する (名詞的使い方をする場合もある。その場合は、波動、波など、形のない振動を指す。)\nsing, play (a instrument), resonate (Note: It can be also used as a noun. In that case, it would mean ""waves"", ""waving"", and ""vibration of formless things"").\nCentral Standard Note
hymmne	[hyumune]\nn.\n波動、調べ、メロディ (hymmnosよりも軽い、意味的にも浅いもの。)\nsound waves, tune, melody (Note: Has lighter connotations than Hymmnos. It actually is used for talking about songs in a more superficial form).\nCentral Standard Note
hymmnos	[hyumunosu]\nn.\n詩、ヒュムノス\nsong, Hymmnos\nCentral Standard Note
hynne	[hyun]\nn.\n声\nvoice\nCentral Standard Note
hyzik	[fijiku]\nn.\n肉体、体\nbody\nAlpha Note (EOLIA)
i	[i]\nE.s. II\n焦り\nimpatience\nCentral Standard Note
iasien	[iashien]\nn.\n朝露\nmorning dew\nCult Ciel Note
ides	[idesu]\nn.\n過去\npast\nCentral Standard Note
idesy	[ideshi^]\nadj.\n過去の\nof the past\nCentral Standard Note
ieeya	[i^ya]\nn.\n希望\nhope, wish\nCentral Standard Note
iem	[iemu]\nn.\n今\nnow\nMetafalss Note
infel	[inferu]\nn.\n愛 (infel yor で「ありがとう」という意味に)\nlove ( Note: ""infel yor"" means ""thank you"")\nMetafalss Note
inferiare	[inferia^re]\nadj.\n親愛なる\nbeloved\nMetafalss Note
ini	[ini]\nv.\n初期化する、清純化する\ninitialize, purify\nCult Ciel Note
innna	[inna]\nn.\n（精神世界的な）中、心の中\ninside (of the Soulspace), within one's heart\nCult Ciel Note
irs	[irusu]\nv.\nいる、存在する\nexist\nCentral Standard Note
j.d.r.	[?]\nE.v.\n囚われる\naprehend, capture\nPastalie [Unofficial]
j.l.j.	[jierujie]\nE.v.\nとらわれる、固執する、はまる\ncapture, adhere, take in\nNew Testament of Pastalie
j.l.r.	[ju^ru]\nE.v.\n我に返る、正気に戻る\ncalm down, return to one's self\nNew Testament of Pastalie
j.w.	[jieu]\nE.v.\n託す\nentrust\nNew Testament of Pastalie
j.z.t.	[jiezuto]\nE.v.\n発動する、実行する\nexecute, invoke\nNew Testament of Pastalie
jam	[jamu]\nadv.\n一緒に\ntogether\nCentral Standard Note
jambea	[janbea]\nn.\n足\nfoot, leg\nCentral Standard Note
jass	[jasu]\nv.\n求める\nseek, request, wish for\nCentral Standard Note
jastil	[?]\nv.\nいくぞ！\nCome!, Let's go!\nUnknown [Unofficial]
jefea	[?]\nadj.\n悼ましい\nlamenting, grieving\nUnknown [Unofficial]
jenge	[jienjie]\nn.\n敵\nenemy, rival, opponent\nCult Ciel Note
jenhah	[jienha^]\nn.\n不幸、災い\ndisaster, misfortune\nCult Ciel Note
jouee	[jue]\nn.\n神の力\nGod's power\nCentral Standard Note
jue	[?]\nn.\n水\nwater\nPastalie [Unofficial]
jyel	[jie^ru]\nE.s. II\n寂しい\nloneliness\nCentral Standard Note
k.f.k.k.	[?]\nE.v.\n嘲笑う\nsneer, ridiculize, scorn\nPastalie [Unofficial]
k.r.	[kuru]\nE.v.\n戯れる、じゃれ合う\nplay, frolic\nNew Testament of Pastalie
k.v.n.r.	[kevunru]\nE.v.\n挑む・挑戦する\nchallenge, defy\nNew Testament of Pastalie
k.v.r.	[?]\nE.v.\n覆う\ncover, wrap\nPastalie [Unofficial]
kajya	[kaja]\nadj.\n必要\nnecessary, needed\nNew Testament of Pastalie
kapa	[kapa]\nn.\n水\nwater\nCult Ciel Note
karf	[?]\nparticle\nその \nthat, these \nUnknown [Unofficial]
keen	[ke^n]\nv.\n輝く\nshine\nCentral Standard Note
keenis	[kenisu]\nn.\n輝き\nradiance\nCentral Standard Note
keg	[kegu]\nn.\n枝\nbranch\nNew Testament of Pastalie
khal	[kuaru]\nv.\n護る\nprotect, defend\nCentral Standard Note
ki	[ki]\nE.s. II\n真剣、集中\nconcentration, focus, seriousness\nCentral Standard Note
kiafa	[kiafa]\nv.\n聴く\nhear, listen\nMetafalss Note
kiakkya	[?]\nnoun\nなかよし \nfriend \nUnknown [Unofficial]
kiala	[?]\nadjective, noun\n金 \ngold, golden \nUnknown [Unofficial]
kieghl	\n\n\n(unknown meaning)\n
kierre	[kie^rre]\nn.\n刻、瞬間\ninstant, moment\nMetafalss Note
kil	[kiru]\nv.\n殺す\nkill\nCentral Standard Note
knawa	[no^wa]\nv.\n知る\nknow\nCentral Standard Note
kneet	[ni^to]\nadj.\n遅い、遅れて、手遅れ\nlate, be late, be too late\nCentral Standard Note
koffl	[?]\nverb\n飲む \ndrink \nUnknown [Unofficial]
konla	[?]\nnoun\n愛 \nlove \nUnknown [Unofficial]
koora	[ko^ra]\nn.\n小川\nstream\nCentral Standard Note
kouf	[ku^fu]\nn.\nため息\nsigh\nNew Testament of Pastalie
ks	[kesu]\nv.\n暗示を掛ける\ngive a hint\nCult Ciel Note
kuhle	[kyu^re]\nn.\n毒・毒薬\npoison\nCentral Standard Note
kvvia	[?]\nn.\n後悔\nregrets, repentance\nUnknown [Unofficial]
kvyeire	[?]\nn.\n終わり, 終焉\nend, ending\nUnknown [Unofficial]
kyll	[?]\nv.\n切る、切られる\ncut, detach\nUnknown [Unofficial]
l.k.k.	[?]\nE.v.\n見上げる\nlook up at, admire\nPastalie [Unofficial]
l.l.n.	[ririn]\nE.v.\n祝福する\nbless\nNew Testament of Pastalie
l.n.c.a.	[runka]\nE.v.\n繋がる\ntie together, connect\nNew Testament of Pastalie
la	[ra]\npre.\nそれこそ （強調する為の冠詞 母音の前）\n*that* (used to emphasize, in front of a vowel sound)\nCentral Standard Note
lamenza	[ramentsua^]\nn.\n嘆き\nlament, grief\nMetafalss Note
lamenzeo	[?]\nadjective, adverb\n嘆きの \nborne of laments, borne of grief \nUnknown [Unofficial]
lapo	[rapo]\nv.\n出逢う\nmeet (by chance), rendezvous\nCult Ciel Note
lasye	[rashie]\nn.\n少年\nboy, young man\nCentral Standard Note
lau	[?]\nEmotion Sound (II)\n慄く \nfear, dread \nUnknown [Unofficial]
lautyca	[?]\nverb\n零れてゆく \nfall down \nUnknown [Unofficial]
layy	[?]\nadj.\n嘘、虚構\nlie, false, imaginary\nUnknown [Unofficial]
leaff	[ri^fu]\nn.\n本、書物、絵本\nbook, books, picture book\nMetafalss Note
leat	[ri^]\nv.\n奏でる (謳う（hymme）に近いが、こちらの方が更に比喩的に使われる。)\nplay (instrument) (Note: It's very similar to the ""singing"" meaning of ""hymme"", but it's used in a much more figurative manner)\nCentral Standard Note
lequera	[rikuuira]\nn.\n善きもの\nGooddoer, good person\nCult Ciel Note
lhasya	[?]\nverb\n繋がる \nconnect, tie together \nUnknown [Unofficial]
li	[ri]\npre.\nそれこそ （強調する為の冠詞 子音の前）\n*that* (used to emphasize, in front of a consonant sound)\nCentral Standard Note
linen	[ri^nen]\nv.\n語る\ntalk, recite\nCult Ciel Note
lir	[rairu]\nn.\n光\nlight\nAlpha Note (EOLIA)
lirle	[rire^ru]\nn.\n夏\nsummer\nCult Ciel Note
llizz	[rizu]\nadv.\n～かもしれない、ひょっとすると、もしかしたら\npossibly, maybe, perhaps\nCentral Standard Note
lof	[rofu]\nn.\n場所\nplace\nCult Ciel Note
lonfa	[?]\nn.\n魂\nsoul\nUnknown [Unofficial]
lornya	[?]\nnoun\nはちみつ \nhoney \nUnknown [Unofficial]
loss	[?]\nadj.\n失なわれた、死なった\ndead, lost\nUnknown [Unofficial]
lulurnya	[?]\nnoun\n喜び \njoy, happiness \nUnknown [Unofficial]
lurrea	[ru^rrea]\nv.\n慄く\nfear\nMetafalss Note
lusye	[ru^shie]\nn.\n光\nlight\nMetafalss Note
lyafre	[ryafure]\nn.\n蝶\nbutterfly\nCult Ciel Note
lyrnya	[?]\nadjective\n安らぎ \ngentle, peaceful \nUnknown [Unofficial]
lyuma	[ryuma]\nn.\n星 (LYAをつけると意訳で「澪の御子」)\nstar, planet (Note: if it has a ""LYA"" before it, the meaning changes to ""Maiden of Mio"")\nNew Testament of Pastalie
m.a.m.	[mamu]\nE.v.\n存在する\nexist\nNew Testament of Pastalie
m.f.l.	[?]\nE.v.\n覆いつく\ncover, shroud\nPastalie [Unofficial]
m.n.g.	[ngu]\nE.v.\n飲み込む\ndrink, understand, learn\nNew Testament of Pastalie
m.r.r.	[?]\nE.v.\n映す\nreflect, project\nPastalie [Unofficial]
m.t.y.y.	[matoui]\nE.v.\n作り出す、生み出す\ncreate, give birth to\nNew Testament of Pastalie
maen	[maen]\nn.\n満月\nfull moon\nNew Testament of Pastalie
mahin	[maain]\nn.\n手\nhand\nCentral Standard Note
manaf	[manafu]\nn.\n命、生命\nlife, existence\nMetafalss Note
manafaln	[manafarun]\nn.\n転生\nreincarnation\nCult Ciel Note
manafeeze	[manafi^tsue]\nv.\n生きる\nlive\nMetafalss Note
maoh	[mao]\nnoun\nマオ \nMaoh, Rhaplanca's partner in Meta Falss mythology  \nMetafalss Note
marfo	[?]\nadjective\n愛しい \nbeloved, dear \nUnknown [Unofficial]
marta	[maruta]\nn./adj.\n母\nmother, motherly\nMetafalss Note
maun	[maun]\nn.\n瞼\neyelid\nCult Ciel Note
maxim	[makushimu]\nadj./adv.\n最も\nmost, extremely\nCentral Standard Note
maya	[maya]\nn.\n魔法、超自然\nmagic, supernatural\nCult Ciel Note
mea	[mi^a]\nn.\n私\nme (object)\nCentral Standard Note
mean	[mi^n]\nn.\nわたしたち\nus (object)\nCentral Standard Note
meaql	[?]\nadjective\n優しい \ngentle \nUnknown [Unofficial]
melenas	[merenasu]\nv.\n愛してる、大好きです (人生においてかけがえのない人にしか使わない。)\nlove, very fond of (Note: Used to talk about the most irreplaceable person to the speaker)\nCult Ciel Note
melifan	[merifan]\nn.\n歴史\nhistory\nMetafalss Note
melvaz	[meruvazu]\nn.\n花嫁\nbride\nCult Ciel Note
memora	[memo^ra]\nn.\n記憶\nmemory\nCentral Standard Note
meo	[meo]\nn.\n理想\nideal, dream\nCentral Standard Note
merfa	[?]\nadj./n.\n無垢な, 無垢な願い\npure, pure wishes\nPastalie [Unofficial]
merra	[?]\nn.\nわたしたち（主語定義）\nus (subject)\nCentral Standard Note
meryu	[meryu]\nn.\n記憶 (Aをつけると「夢（見る方）」に意訳する。)\nmemory (Note: if it's preceeded by an ""A"" emotion vowel, then its meaning is changed to ""dream"")\nNew Testament of Pastalie
meso	[meso]\nv.\n散らかす\nscatter, leave untidy\nCentral Standard Note
messe	[messe^]\nv.\n伝える\nreport, transmit, convey\nCentral Standard Note
milra	[?]\nnoun\n? \nfragrance \nUnknown [Unofficial]
mirie	[?]\nn.\n温かさ\nwarmth\nPastalie [Unofficial]
morto	[moruto]\nn./v.\n死 死ぬ\ndeath, die\nCentral Standard Note
murfan	[murufan]\nv.\n想う\nfeel, think\nMetafalss Note
murfanare	[murufana^re]\nn.\n想い\nfeeling, thought\nMetafalss Note
mutrk	[?]\nn.\n温かさ\nwarmth\nPastalie [Unofficial]
n.d.n.	[?]\nE.v.\n伏せる\nlay, put down, hide\nPastalie [Unofficial]
n.e.g.	[?]\nEmotion Verb\n祈る \npray \nPastalie [Unofficial]
n.m.l.	[nmu]\nE.v.\n染まる\ndye, color\nNew Testament of Pastalie
n.t.n.	[?]\nE.v.\n続く\ncontinue, go on\nPastalie [Unofficial]
na	[na]\nadv.\n否定、～ではない\nno, not, negation\nCentral Standard Note
naave	[naabe]\nconj.\nだから～\nbecause ~\nNew Testament of Pastalie
nafa	[nafa]\nadj.\n優しい\neasy, gentle\nNew Testament of Pastalie
nafan	[nafan]\nadj.\n優しく\nkind, tender\nNew Testament of Pastalie
naflansee	[nafuranzui^]\nn.\n幸せ\nhappiness, good fortune\nNew Testament of Pastalie
naja	[na^ja]\nv.\n後退する、さがる、逃げ去る、立ち去る\nescape, retreat, disappear, leave\nCult Ciel Note
near	[niea^]\nn.\n命、生命\nlife\nCentral Standard Note
neath	[?]\nadjective\n灼熱 \nred hot, scorching \nUnknown [Unofficial]
nedle	[nidouru]\nv.\n必要とする\nneed\nAlpha Note (EOLIA)
neee	[nee]\nv.\n呼ぶ\ncall out\nCentral Standard Note
neen	[ni^n]\nadjective, adverb\nあまりに～すぎる \ntoo much, excessive, beyond reason \nCult Ciel Note
neia	[neia]\nv.\n近づく、近寄る\napproach, draw near\nCentral Standard Note
nene	[nene]\nadj.\n分からない\nnot understand\nCult Ciel Note
nepo	[nepo]\nv.\n潤う\nmoisten\nCentral Standard Note
netvear	[netovia]\nv.\n諦める、挫ける、挫折する\ngive up, abandon, be discouraged\nCentral Standard Note
nezz	[nezu]\nn.\n鼻\nnose\nCentral Standard Note
nha	[nya]\nv.\n入れる、召喚する (物理的ではない、魔法的な場合に使用する。)\nlet in, summon (Note: It isn't used to refer to a physical phenomenon, rather, it's for situations were magic is being used)\nCult Ciel Note
nhaf	[?]\nadj.\n茫然と\nsurprised, dazed\nUnknown [Unofficial]
nille	[niru]\nv.\n似ている、類似、似る\nresemble, resemblance, be alike\nCentral Standard Note
nnoini	[noini]\nadv.\n初めて、初めての (イニ（初期化）とノイ（１）に由来する)\nfirst (Note: Combination of ""Nnoi"" (1) and ""Ini"" (Initialize))\nCentral Standard Note
noce	[no^se]\nn.\n自然\nnatural, spontaneous\nCult Ciel Note
noes	[noisu]\nn.\n自分自身\noneself\nCentral Standard Note
noglle	[noguru]\nadj./n.\n黒、黒い\nblack\nCentral Standard Note
nooge	[nu^gu]\nv.\n寝る\nsleep\nCult Ciel Note
nor	[?]\npre.\nか\nor, either\nUnknown [Unofficial]
nosaash	[no^sasshu]\nn.\n女神\ngoddess\nCult Ciel Note
nozess	[no^zesu]\nv.\n無にする、なくす\nlose, get rid of, waste\nCentral Standard Note
nuih	[nui]\nn.\n夜\nnight\nCentral Standard Note
num	[namu]\nE.s. II\n無\nnothing\nCentral Standard Note
nx	[nukusu]\nn.\n次\nnext\nCentral Standard Note
nyamo	[?]\nnoun, verb\n鳴き声、にゃも \nmeowing \nUnknown [Unofficial]
nyamonyas	[?]\nnoun\nともだち \nfriend \nUnknown [Unofficial]
nyanyas	[?]\nadj.\nかわいい\ncute, lovely, darling\nUnknown [Unofficial]
nyasri	[nyasuri]\nE.s. II\n悲しい\nsad\nCult Ciel Note
nyasyamorina	[?]\nadjective\nとてもしあわせ \nvery happy \nUnknown [Unofficial]
ocurp	[?]\nnoun\n河口 \nriver mouth \nUnknown [Unofficial]
ogbl	[?]\nverb\n渦巻する \ncoil into \nUnknown [Unofficial]
olo	[oro]\nn.\n夜\nnight\nNew Testament of Pastalie
omness	[?]\nn.\n生命\nlife, existence\nUnknown [Unofficial]
omnis	[omunisu]\nadj.\n全てを\neverything (direct object)\nMetafalss Note
oriye	[oriie]\nn.\n耳\near\nCentral Standard Note
orn	[?]\nadjective\n唯一つの \nonly, sole, unique \nUnknown [Unofficial]
orviclle	[o^vikuru]\nn.\n問題、障害 (na orviclle:無問題=大丈夫)\nproblem, question, obstacle (Note: na orviclle can mean ""no problem"" or ""it's okay"").\nCentral Standard Note
oter	[?]\npre.\n~から\nout from ~ (note: only used in Hymmnos Spells)\nUnknown [Unofficial]
oucc	[ouku]\nadv.\n一緒に\ntogether\nNew Testament of Pastalie
oure	[oure]\npre.\n何よりも\nmore than anything\nCentral Standard Note
ousye	[oushie]\nv.\n襲い掛かる、降りかかる\nlaunch an attack, fall onto\nAlpha Note (EOLIA)
ouvyu	[ouvuyu]\nn.\n廃墟\nruins\nNew Testament of Pastalie
ouwua	[ouea]\nadj.\nたくさんの\na lot, many, much\nNew Testament of Pastalie
oz	[ozu]\npre.\n～の（所有の助詞） (英語のofと同義（文脈によっては必ずしも必要ではない）\nof (possessive article) (Note: Equivalent to the English ""of"", though depending on context, it isn't always necessary)\nCentral Standard Note
p.s.w.t.	[pisuuto]\nE.v.\n掴む・獲得する\nseize, adquire\nNew Testament of Pastalie
pagle	[pagure]\nv.\n話す 喋る\ntalk, speak with\nCentral Standard Note
pak	[paku]\nv.\n（未来が）開く\nopen (the future)\nCentral Standard Note
paks	[pakusu]\nE.s. II\nドキドキ\nexcitement, nervouseness\nCentral Standard Note
pakz	[pakuzu]\nv.\n分ける\ndivide, separate\nCult Ciel Note
papana	[papana]\nn.\n雨\nrain\nCult Ciel Note
papas	[?]\nn.\n信じること\nbelief\nUnknown [Unofficial]
papulipua	[?]\nverb\n困る \nworry, bother \nUnknown [Unofficial]
parce	[pa^shie]\nn.\n証拠、証\nevidence, proof\nCentral Standard Note
parge	[pajie]\nv.\n切り離す (魔法的な場合) (物理的ではない、魔法的な場合に使用する。)\nto cut loose (in the case of magic) (Note: It isn't used to refer to a physical phenomenon, rather, it's for situations were magic is being used)\nCult Ciel Note
parith	[parisu]\nadj./n.\n正直、素直\nhonest, sincere\nCult Ciel Note
pat	[patsu]\nv.\n解放する\nrelease, set free\nCult Ciel Note
paul	[pauru]\nv.\n感じる\nfeel, sense\nCult Ciel Note
pauwee	[pauue^]\nn.\n力の子\nchild of power\nMetafalss Note
pauwel	[pauueru]\nn.\n力\npower\nMetafalss Note
pawr	[?]\nnoun\n力 \npower, strength \nUnknown [Unofficial]
pecee	[pishi]\nv.\n(卵が)孵る、孵化する\nhatch (egg), incubate\nCentral Standard Note
phira	[pira]\nn.\n種\nseed, kind\nMetafalss Note
phiz	[fizu]\nnoun\n身体 \nbody \nCult Ciel Note
phyue	[hyuu]\nn.\nおめでとう\ncongratulations\nCentral Standard Note
pic	[piku]\nv.\n気づく、はっとする\nrealize, take aback\nCentral Standard Note
pikca	[pikka]\nn.\n果物、実\nfruit, nut\nNew Testament of Pastalie
pilt	[piruto]\nv.\n気づく\nrealize\nCult Ciel Note
pipel	[piperu]\nadj./n.\n筒 筒状の\npipe, cylindrical\nCentral Standard Note
pipit	[pipitto]\nadj.\n僅かな\nonly, merely, a little\nNew Testament of Pastalie
pirtue	[pirichue]\nn.\n精霊\nspirit, ghost\nMetafalss Note
pitod	[pitoddo]\nadv.\n側に、共に、一緒に\nbeside, together\nCult Ciel Note
plina	[purina]\nn.\n緑（植物） (植物を指して言う場合の『緑』)\ngreenery (plants) (Note: Used only for talking about green plants)\nCentral Standard Note
poe	[poe]\nn.\n種\nseed, kind\nNew Testament of Pastalie
polon	[poron]\nn.\n孤独\nloneliness, solitude\nCult Ciel Note
pomb	[pomu]\nv.\n生む、産み出す\ngive birth, create\nCentral Standard Note
pono	[pono]\nn.\n卵\negg\nCentral Standard Note
pop	[popu]\nn.\n泡\nbubble\nNew Testament of Pastalie
porter	[porutea]\nv.\n着る 身に着ける 身に纏う\nwear (clothes)\nCentral Standard Note
prasrity	[purasuritei^]\nn./v.\n繁栄、栄える\nprosperity, prosper\nCentral Standard Note
presia	[pureshia]\nadv.\n～します様に、～どうか…して下さい\nmay it be so, would you please do ~, please ~\nMetafalss Note
prooth	[puru^su]\nn.\n血\nblood\nCult Ciel Note
pruna	[?]\nadj.\n可笑しい\nfunny\nUnknown [Unofficial]
ptrapica	[putorapika]\nn.\n宝\ntreasure\nCult Ciel Note
ptrapile	[putorapiru]\nn.\n秋\nautumn\nCult Ciel Note
pupe	[pyu^pe]\nn.\n涙\ntear, teardrop\nNew Testament of Pastalie
pyuf	[?]\nverb\n目指す \nhead for, head to \nUnknown [Unofficial]
q.g.s.	[?]\nE.v.\n終る\nend, finish\nPastalie [Unofficial]
q.l.s.	[?]\nE.v.\n激しく揺らす\nshake tremendously\nPastalie [Unofficial]
qejyu	[kejieu]\nn.\n人々、人間 (Eをつけると意訳で「恋人、妻、旦那」 YEをつけると意訳で「家族、身内」 LYEをつけると「人類皆兄弟」的な意味になる。)\npeople, humanity (Notes: Preceeded by an ""E"" emotion vowel, the meaning changes to ""lover"" and ""wife/husband"". Preceeded by an ""YE"" emotion vowel, the meaning changes to ""family, relatives, friends"". Preceeded by an ""LYE"" emotion vowel, the meaning changes to ""the grand family of humankind"".)\nNew Testament of Pastalie
qoga	[?]\nn.\n終わり、終焉\nend, ending\nUnknown [Unofficial]
qraffa	[kuraffa]\nn.\n葉\nleaf\nNew Testament of Pastalie
quals	[?]\nverb\n再生 \nrevive, resurrect \nUnknown [Unofficial]
quel	[kueru]\nE.s. II\n切に想う 必死\nearnestness, desperation\nCentral Standard Note
quen	[ku^n]\nv.\n生み出される\ngive birth, create\nCentral Standard Note
quesa	[kue^sa^]\nn.\n大地を揺らすもの、(転じて)雷鳴、稲妻\nthing that shakes the earth, thunder, lightning\nCentral Standard Note
quivale	[kuiba^re]\nn.\n冬\nwinter\nCult Ciel Note
quive	[kuuiba]\nn/v.\n沈黙 黙る 静寂\nsilence, quietness\nCult Ciel Note
quowjaz	[kuoujazu]\nn.\n正義\njustice, righteousness\nCult Ciel Note
r.f.m.	[rufun]\nE.v.\n見る\nsee, watch\nNew Testament of Pastalie
r.f.r.m.	[rufurun]\nE.v.\n認識する、知る\nknow, recognize\nNew Testament of Pastalie
r.l.t.y.	[?]\nE.v.\n甦る\nrevive, resurrect, rebirth\nPastalie [Unofficial]
r.w.	[ruu]\nE.v.\n助ける、救う\nhelp, rescue\nNew Testament of Pastalie
ra	[ra]\nE.s. III\nこのままでいたい\nI want this to last\nCentral Standard Note
race	[re^su]\nn./v.\n首飾り（巻きつける）\n(wreathe a) necklace, to wreath\nCentral Standard Note
